row_id,article_id,agrees,reasoning,before_sentiment,before_topic,before_actor,revised_certainty
r082,3072502056,TRUE,"Fedeli's direct quote urging Canada to mirror U.S. tariffs is mild positive policy advocacy; actor, tariffs_trade topic, and ~0.2 sentiment all fit.",0.2,tariffs_trade,Vic Fedeli (Ontario Minister of Economic Development),75
r014,3039702807,TRUE,"Coverage of Chow's disappointment frames the PC government's matching-funds condition mildly negatively; -0.2 is on the soft side but defensible, actor and public_transit topic correct.",-0.2,public_transit,Doug Ford / PC government,70
r003,3071391372,TRUE,Both opposition leaders urging reversal of the Science Centre decision reads clearly negative toward Ford (-0.6); actor and public_infrastructure topic fit.,-0.6,public_infrastructure,Ontario government/Ford (PC),75
r097,3126483284,TRUE,"Bereaved-family open letter attacking the bike-lane removal is strongly negative toward the Ford government; -0.9, actor, and transit/bike-lane topic all fit.",-0.9,public_transit (bike lanes),Ford government / Transportation Minister Sarkaria,85
r035,3076428079,TRUE,"Lilley column casts the strike as union leaders' political ambition, clearly negative (-0.6); actor and alcohol_retail (LCBO) topic acceptable.",-0.6,alcohol_retail,OPSEU / union leaders (JP Hornick),68
r031,3168996870,TRUE,"Danko's 'defund the police' label is an attack on Damptey, negative (-0.6) toward him; the policing-focused crime topic is defensible.",-0.6,crime,Kojo Damptey (NDP candidate),65
r028,2968932423,TRUE,Critical letter-to-editor casting Ford as endangering the future is negative (-0.7); environment topic and Ford actor fit despite thin text.,-0.7,environment,Doug Ford / government,65
r017,3043320607,TRUE,Ford touting the Honda EV deal as surpassing prior investments is clearly positive self-promotion (0.6); economic_development topic and actor correct.,0.6,economic_development,Doug Ford / PC government,82
r117,3108476043,FALSE,"The quoted line credits Ford's wins but frames him as 'ignoring the experts,' a mixed/critical editorial tone; 0.5 overstates positivity, I'd place it near neutral.",0.5,public_transit;municipal_powers;housing,Doug Ford / Ontario PCs,60
r013,3047409433,TRUE,Letter endorsing the Speaker's keffiyeh ban is positive toward Arnott (0.6); actor and legislature_conduct topic correct.,0.6,legislature_conduct,Speaker Ted Arnott,80
r088,3167578275,TRUE,Crombie calling Ford's statements 'lies' is a clearly negative debate attack on Ford (-0.6); campaign_conduct topic fits the debate framing.,-0.6,campaign_conduct,Ford,70
r112,2918434299,TRUE,Skuterud's measured critique that the student program became a de facto low-wage labour channel is mildly negative (-0.3); structural actor and immigration/post_secondary topic fit.,-0.3,immigration;post_secondary,international student program (structural critique),70
r070,3042453370,TRUE,"Article frames Ford's 'focus on kids in classrooms' stance as insufficient, mildly negative (-0.2); education/mental_health topic and Ford actor fit.",-0.2,education; mental_health,Ford,60
r011,3047409433,TRUE,Letter accusing Stiles of inconsistency over the keffiyeh is negative toward her (-0.5); actor and legislature_conduct topic correct.,-0.5,legislature_conduct,Marit Stiles / NDP,70
r076,3157719754,TRUE,"Warmington column credits Ford's LCBO/alcohol threat for the tariff reprieve, clearly positive (0.7); tariffs_trade topic and actor correct.",0.7,tariffs_trade,Ford,80
r055,3092922518,TRUE,"Bethlenfalvy's self-defense ('open book, nothing to hide') is mildly positive government spin amid the Greenbelt/RCMP scandal; 0.2 self-ascribed and corruption_scandal both fit.",0.2,corruption_scandal,Peter Bethlenfalvy,75
r004,3064715152,TRUE,Stiles's 'he's wrong' is a clear opposition jab at a possible Ford snap election; -0.6 toward Ford/PC and election_timing are correct.,-0.6,election_timing,Doug Ford / PC government,88
r118,3108476043,TRUE,Author attributes the federal Liberals' 19-point deficit to housing/immigration/tax frustration; -0.5 toward Trudeau/federal Liberals is well supported.,-0.5,housing;immigration;taxes,Justin Trudeau / federal Liberals,78
r107,3123271354,TRUE,"Shelton defends TMU's equity admissions as bridging under-representation, a positive self-ascribed stance; 0.5 with actor TMU/Shelton is right.",0.5,post_secondary;health_care,TMU / Dr. Dominick Shelton (dean of admissions),72
r027,3109935396,FALSE,"The 'ambitious' quote read inside a sarcastic anti-Ford column supports a mild -0.2, but the subject is a 55km Hwy 401 car tunnel, so I'd retag the topic from public_transit to a roads/highway-congestion category.",-0.2,public_transit,Doug Ford,58
