article_id,section,date,origin,title,topic,potential_merge,actor,actor_party_bucket,sentiment_score,ascribing,public_reaction,other_actors,other_observations,example_quote,quote_is_direct,topic_certainty,actor_certainty,sentiment_certainty,ascribing_certainty,public_certainty,crosscheck_notes
3169738022,News,2025-02-23,Toronto Star,Premiers get some support in tariff battle,tariffs_trade,n/a,Doug Ford,PC,-0.3,Ford himself (self-quotes),No mention,,"Frustrated/anxious tone, not confident self-promotion like the snap-election article — genuinely different register worth noting.","""We need certainty. A lot of companies are wavering back and forth.""",True,88,95,60,88,,
3169738022,News,2025-02-23,Toronto Star,Premiers get some support in tariff battle,tariffs_trade,n/a,Doug Ford,PC,-0.6,NDP (Marit Stiles),No mention,,"No distinct Stiles quote given — bundled with Crombie in one clause (""criticized for hypocrisy by NDP Leader Marit Stiles and Liberal Leader Bonnie Crombie""); split into two rows anyway per the no-merge rule, but low ascribing certainty reflects the lack of a differentiated quote.","""criticized for hypocrisy by NDP Leader Marit Stiles ... given he was recently caught in a hot mic gaffe.""",False,88,90,75,60,,
3169738022,News,2025-02-23,Toronto Star,Premiers get some support in tariff battle,tariffs_trade,n/a,Doug Ford,PC,-0.6,Liberal (Bonnie Crombie),No mention,,Same caveat as the Stiles row above.,"""criticized for hypocrisy by ... Liberal Leader Bonnie Crombie.""",False,88,90,75,60,,
3169738022,News,2025-02-23,Toronto Star,Premiers get some support in tariff battle,tariffs_trade,n/a,Trump tariff policy,"n/a (US governors, not Ontario actors)",-0.5,"Democratic governors (Polis, Beshear — combined, other actors)",No mention,,"Combined per the 'other actors' rule since both are non-Ontario, non-party-leader sources with aligned sentiment.","Polis: ""whether it's a master negotiating strategy or we're just stabbing ourselves a bunch of times, get it done quickly.""",True,85,85,75,85,,
3169738022,News,2025-02-23,Toronto Star,Premiers get some support in tariff battle,tariffs_trade,n/a,Trump tariff policy,"n/a (US governors, not Ontario actors)",0.5,"Republican governors (Stitt, Armstrong — combined, other actors)",No mention,,"Directly opposite sentiment from the Democratic-governor row above — good illustration of why 'other actors' should only be combined within a shared sentiment cluster, not across one.","Stitt: ""I support President Trump and what he's doing to get manufacturing, get jobs back to the U.S.""",True,85,85,78,85,,
3050570298,politics/provincial,2024-05-03,Hamilton Spectator,How Doug Ford schooled his rivals in the Milton byelection,Campaign dynamics / byelection results [new],"none — meta/strategy, not a policy topic",Doug Ford,PC,0.6,Author,No mention,,"Strongly positive triumphant framing throughout (""schooled his rivals"", ""Ford ended up schooling them"").","""How Doug Ford schooled his rivals in the Milton byelection"" (headline + closing framing).",False,70,90,80,72,,
3050570298,politics/provincial,2024-05-03,Hamilton Spectator,How Doug Ford schooled his rivals in the Milton byelection,Legislature dress-code (kaffiyeh) controversy [new],"none — free-expression/procedural, not in the 10-item list",Doug Ford,PC,0.2,Ford himself (self-quotes),No mention,,"Broadly about Ford's leadership style/party unity messaging rather than a specific policy topic; kept a light new-topic tag rather than leaving fully blank since it's a distinct, coverable news item.","""You can see it hasn't caused too much of a division ... we all keep together.""",True,55,90,55,85,,
3050570298,politics/provincial,2024-05-03,Hamilton Spectator,How Doug Ford schooled his rivals in the Milton byelection,Campaign dynamics / byelection results [new],none,Liberal (Bonnie Crombie) / Ontario Liberal Party,Liberal,-0.5,Author,No mention,,,"""Milton was a setback,"" Crombie said. ""There were a lot of factors.""",True,70,88,75,80,,
3050570298,politics/provincial,2024-05-03,Hamilton Spectator,How Doug Ford schooled his rivals in the Milton byelection,Campaign dynamics / byelection results [new],none,NDP (Marit Stiles) / Ontario NDP,NDP,-0.6,Author,No mention,,,"""Stiles's Official Opposition New Democrats had a disappointing night, garnering just 8.6 per cent of the vote.""",False,70,88,78,80,,
3050570298,politics/provincial,2024-05-03,Hamilton Spectator,How Doug Ford schooled his rivals in the Milton byelection,Campaign dynamics / byelection results [new],none,Green (Mike Schreiner) / Ontario Greens,Green,-0.7,Author,No mention,,Worst relative showing of the four parties covered.,"""Only Schreiner's Greens ... fared worse Thursday ... They were fifth.""",False,70,88,80,80,,
