article_id,title,topic,new_topic,actor,sentiment_score,ascribing,public_reaction,other_actors,other_observations,certainty_pct,context_window,example_quote,crosscheck
3082873316,New squabble casts doubt on tentative deal at LCBO,Alcohol/LCBO labour dispute,yes,LCBO management and OPSEU (union),-0.5,Author (reciprocal blame reported neutrally),,"OPSEU (10,000 LCBO workers)",Both sides publicly blame each other; no single actor is clearly 'at fault' in the text.,65,full article,'the union...announced that the strike would continue because the employer had refused to sign a return-to-work protocol.' / LCBO: 'significant new monetary demands',"AGREE (Opus independently landed on -0.5, 65%)"
3114142983,Toronto's new Nobel laureate Geoffrey Hinton slams Doug Ford,Science Centre / public institutions,yes,Doug Ford,-0.8,"Third-party expert (Geoffrey Hinton, Nobel laureate)",,"John Hopfield (co-recipient, unrelated to Ford)",Headline itself ('slams') signals the article's framing; Hinton's quote is blunt and unhedged.,85,full article,"""Don't elect someone who's going to destroy the Science Centre.""","AGREE (Opus: -0.8, 85%)"
2967007606,Ontario's social assistance rates need to rise,Social assistance / poverty (Ontario Works),yes,Doug Ford / Ontario government,-0.9,Author (opinion/contributor piece),People on Ontario Works forced into tents and food lineups; recipients described as suffering directly.,"Michael Parsa (minister), Colin Best (AMO president), Tamra Smith (named OW recipient)",Uses a named individual's story (Tamra Smith) for emotional weight; directly quotes Ford in a way that reads unsympathetic.,88,full article,"""What drives me crazy is people on Ontario Works ... healthy people sitting at home collecting your hard-earned dollars ...""",Not flagged (88% > 87% threshold)
2967007606,Ontario's social assistance rates need to rise,Housing,no (maps to keyATM 'housing'),Ontario government policy,-0.6,Author,,,"Secondary/incidental topic mention within the social-assistance op-ed, not the article's main focus.",72,full article,"""an ever-increasing number of recipients are being forced to live in tents...become further entrenched in homelessness.""","AGREE, cross-check raised certainty 60%->72%"
2967007606,Ontario's social assistance rates need to rise,Health care,no (maps to keyATM 'health_care'),Ontario government policy,-0.5,Author,,,"Secondary/incidental topic mention; frames the policy as fiscally self-defeating, not just harmful.",65,full article,"""many people end up in hospital emergency departments, where they must be costing the health system more than they receive in social assistance.""","AGREE, cross-check raised certainty 55%->65%"
3013971640,Ford government makes a deal with city of Ottawa,Municipal funding / infrastructure,yes,Doug Ford / Ontario government,0.4,"Mixed: officials positive (Ford, Mayor Sutcliffe); author's opening frames it as politically motivated",,"Mark Sutcliffe (Ottawa mayor), Mike Harris (referenced historically)","Author's cynical opener ('having suffered capital punishment at the hands of voters') implies the funding is a reaction to electoral defeat in Ottawa, undercutting the otherwise positive officialdom quotes.",60,full article,"Sutcliffe: ""This is a big win for Ottawa... these investments will relieve significant budget pressures.""","AGREE (Opus: +0.3, 60%) — score adjusted from initial +0.5 to +0.4 after cross-check discussion"
3013971640,Ford government makes a deal with city of Ottawa,Crime,no (maps to keyATM 'crime'),Ontario government / Ottawa Police,-0.1,Author,,,"Funding for a new police centre is framed positively, but is explicitly tied to a stated rise in local crime — mixed/near-neutral net.",50,full article,"""a new Ottawa police neighbourhood operations centre in the ByWard Market, which has seen an increase in crime since the COVID-19 pandemic.""","AGREE (Opus: -0.1, 50%)"
3111375600,Why are TDSB students being sent to rallies in the first place?,Education,no (maps to keyATM 'education'),Toronto District School Board (TDSB),-0.5,Author (skeptical headline framing),,"Grassy Narrows First Nation, Queen's Park (as target of the demonstration's demand)","Very short article (3 sentences); most of the negative signal comes from the headline's rhetorical question rather than the body text, which is largely neutral-descriptive.",58,full article (entire article is 3 sentences),"Headline: ""Why are TDSB students being sent to rallies in the first place?""","AGREE (Opus: -0.5, 58%)"
3052716586,Newly released records reignite questions about Premier Ford's office's involvement in the Greenbelt scandal,Housing,no (maps to keyATM 'housing'),Doug Ford / Premier's office,-0.85,"NDP (Marit Stiles) + independent oversight bodies (Auditor General, Integrity Commissioner) + author's investigative framing",,"Carlo Oliviero, Ryan Amato, Nico Fidani-Diker, RCMP, Caitlin Clark (Ford spokesperson, denies involvement)","Long investigative piece; Ford's office is given a direct denial quote, which provides some balance, but oversight-body findings and an open RCMP probe dominate the framing.",87,full article,"Integrity Commissioner: process was ""rushed and favoured well-connected developers.""","AGREE, cross-check raised certainty 85%->87%"
3033844868,Fundraiser at centre of major scandal (obituary of Patti Starr),Crime (fraud conviction),no (maps to keyATM 'crime'),Patti Starr (deceased),-0.2,Author (obituary narrative),,"David Peterson (then-premier), Bob Rae, Supreme Court of Canada","Historical (1990-91) provincial scandal, not current 2025-election coverage — flagged as a Step-1 edge case (see feedback). Sentiment is genuinely mixed: scandal framing dominates the opening, redemptive prison-reform advocacy closes the piece.",55,full article,"""I lived through some of these conditions and know how frustrating and mind-numbing they become.""","AGREE (Opus: -0.2, 55%)"
3159749017,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Tariffs/trade,no (maps to keyATM 'tariffs_trade'),Doug Ford,0.5,Ford himself (self-quotes),,,Split entry: this row captures Ford's own positive self-framing; see next row for the opposition's contrasting framing of the same actor/topic in the same article.,70,full article,"""I will do whatever it takes to protect the people of Ontario... We will not back down.""","AGREE (Opus: +0.5, 70%)"
3159749017,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Tariffs/trade,no (maps to keyATM 'tariffs_trade'),Doug Ford,-0.7,"Opposition (NDP Leader Marit Stiles, Liberal Leader Bonnie Crombie)",,"Mike Schreiner (Green leader — milder critique, focused on need for stability rather than personal attack)","Same article, same actor/topic as previous row but sharply opposite sentiment depending on who is speaking — a clean illustration of why 'ascribing' must be tracked separately from topic sentiment.",75,full article,"Crombie: ""Ford is scrambling to outrun the RCMP investigation into his Greenbelt scandal... abandoning his post.""","AGREE (Opus: -0.7, 78%)"
3059793506,"Yes, Sylvia Jones should resign; Letters to the editor",Health care,no (maps to keyATM 'health_care'),Sylvia Jones (Ontario Health Minister) / Doug Ford,-0.9,The public (this is a reader's letter to the editor),Yes — this entire piece IS a member of the public reacting; the letter-writer directly calls for both the minister's and premier's resignation.,"Union of Family Physicians, CHEO","Clean example of public sentiment ascription since the source is literally a citizen's letter, not journalist framing.",90,full article,"""Doug Ford should also take some responsibility for this massive gaff and resign too.""",Not flagged (90% > 87% threshold)
3163297700,Ontario's election adventures through Trump's looking glass; Trade war,Tariffs/trade,no (maps to keyATM 'tariffs_trade'),Doug Ford / the trade war,-0.3,Author (sardonic opinion tone),,,"Short article; sardonic tone ('orange juice, appliances, sports equipment and spirituous beverages') is mild, not scathing.",57,full article,"""Premier Doug Ford put that dream to rest in recent days"" [that costs wouldn't rise].","AGREE (Opus: -0.3, 57%)"
3163297700,Ontario's election adventures through Trump's looking glass; Trade war,Campaign dynamics / opposition strategy,yes,Ontario Liberals & NDP,-0.45,Author,,,New topic not covered by the 8 keyATM categories — captures horse-race/strategy framing distinct from any single policy issue.,60,full article,"""the Ontario Liberals and New Democrats - a distant second and third, respectively, in the polls - are struggling to shift the discussion away from Trump.""","AGREE (Opus: -0.45, 60%)"
