article_id,title,topic,new_topic,actor,actor_party_bucket,sentiment_score,ascribing,public_reaction,other_actors,other_observations,context_window,example_quote,topic_certainty,actor_certainty,sentiment_certainty,ascribing_certainty,public_certainty,crosscheck_notes
3082873316,New squabble casts doubt on tentative deal at LCBO,Alcohol/LCBO labour dispute,yes,OPSEU (union),n/a (not a provincial party),-0.4,LCBO (employer statement),Customers seen stocking up amid bare shelves (ambiguous whether this is 'public reaction' to the dispute or just a shopping pattern),,"Two actor-ascribing combos from this article (see also LCBO-as-actor row); kept separate because each side blames the other, not because of the party-leader rule (neither is a provincial party).",full article,LCBO statement cited the union's 'significant new monetary demands.',88,92,60,90,50,Spot-checked: ASCRIBING agree (Opus: 90%).
3082873316,New squabble casts doubt on tentative deal at LCBO,Alcohol/LCBO labour dispute,yes,LCBO (employer),n/a (not a provincial party),-0.4,OPSEU (union statement),,,See prior row's note on public reaction / stocking-up detail.,full article,"Union said the strike would continue because ""the employer had refused to sign a return-to-work protocol.""",88,95,60,85,,Not sampled in spot-check (75% of flagged variables excluded by design).
3114142983,Toronto's new Nobel laureate Geoffrey Hinton slams Doug Ford,Science Centre / public institutions,yes,Doug Ford,PC,-0.8,"Geoffrey Hinton (third-party expert, Nobel laureate)",,"John Hopfield (co-recipient, unrelated to Ford)",DISAGREEMENT ON TOPIC (see crosscheck_notes) — resolved to keep as a distinct new topic rather than folding into 'education.',full article,"""Don't elect someone who's going to destroy the Science Centre.""",75,95,90,92,,"Spot-checked: TOPIC — DISAGREE. Opus argued this should map to the existing keyATM 'education' topic rather than a new one. Resolution: kept as a separate new topic, because the dataset's 'education' dictionary (school*, teacher*, classroom*, curriculum, kindergarten) is built around K-12 schooling and would not literally match this Science Centre funding dispute — folding it in would blur what 'education' means in the existing topic model. Documenting the disagreement per Step 4 rather than silently picking a side."
2967007606,Ontario's social assistance rates need to rise,Social assistance / poverty (Ontario Works),yes,Doug Ford / Ontario government,PC,-0.9,Author (opinion contributor),No mention (see crosscheck note),"Michael Parsa (minister), Colin Best (AMO president), Tamra Smith (named OW recipient)",DISAGREEMENT ON PUBLIC REACTION resolved below.,full article,"""What drives me crazy is people on Ontario Works ... healthy people sitting at home collecting your hard-earned dollars ...""",90,90,90,90,72,"Spot-checked: PUBLIC REACTION — DISAGREE. Opus's read: describing recipients 'forced to live in tents' is the author narrating policy impact on an affected population, not a documented public reaction (protest/backlash/poll). Resolution: agreed with Opus — reclassified as 'no mention' rather than a public-reaction instance; also applied the same correction to the housing row below since it used identical reasoning. ASCRIBING also spot-checked separately: AGREE (90%)."
2967007606,Ontario's social assistance rates need to rise,Housing,no (maps to keyATM 'housing'),Ontario government policy,PC,-0.6,Author,No mention (corrected — see crosscheck note on the main row above),,Secondary/incidental topic mention within the social-assistance op-ed.,full article,"""...lose up to $400 per month and become further entrenched in homelessness.""",85,88,75,82,55,Spot-checked: TOPIC agree (Opus: 85%). Public-reaction field corrected to 'no mention' by analogy to the disagreement resolved on the main social-assistance row (same impact-vs-reaction distinction applies).
2967007606,Ontario's social assistance rates need to rise,Health care,no (maps to keyATM 'health_care'),Ontario government policy,PC,-0.5,Author,No mention,,Secondary/incidental topic mention.,full article,"""...end up in hospital emergency departments, where they must be costing the health system more than they receive in social assistance.""",78,85,70,88,,"Spot-checked: SENTIMENT agree (Opus: -0.5, 70%). ASCRIBING agree (Opus: 88%)."
3013971640,Ford government makes a deal with city of Ottawa,Municipal funding / infrastructure,yes,Doug Ford / Ontario government,PC,0.3,Author (cynical framing of motive),,,Score revised 0.4 -> 0.3 per cross-check (Opus weighted the 'capital punishment at the hands of voters' opener more heavily).,full article,"""Having suffered capital punishment at the hands of voters, Premier Doug Ford has signed a 'new deal' with the city of Ottawa.""",70,90,58,75,,"Spot-checked: SENTIMENT — agree in direction, Opus landed at +0.3 (vs. first-pass +0.4); adopted Opus's value."
3013971640,Ford government makes a deal with city of Ottawa,Municipal funding / infrastructure,yes,Mark Sutcliffe (Ottawa Mayor),"n/a (municipal, not provincial party)",0.7,"Mark Sutcliffe (Ottawa mayor, quoted directly)",,,"Kept separate from the author's framing (previous row) because sentiment differs substantially (+0.3 vs +0.7), not because of the party-leader rule (mayor isn't a provincial party leader).",full article,"""This is a big win for Ottawa... these investments will relieve significant budget pressures.""",70,88,85,90,,Not sampled in spot-check.
3013971640,Ford government makes a deal with city of Ottawa,Crime,no (maps to keyATM 'crime'),Ontario government / Ottawa Police,PC,-0.1,Author,,,"Mixed/near-neutral: funding is positive, but explicitly tied to a stated rise in local crime.",full article,"""a new Ottawa police neighbourhood operations centre in the ByWard Market, which has seen an increase in crime since the COVID-19 pandemic.""",82,80,48,70,,Not sampled in spot-check.
3111375600,Why are TDSB students being sent to rallies in the first place?,Education,no (maps to keyATM 'education'),Toronto District School Board (TDSB),"n/a (school board, not a provincial party)",-0.5,Author (skeptical headline framing),No mention,"Grassy Narrows First Nation, Queen's Park (target of the demonstration's demand)",Very short article (3 sentences); negative signal comes almost entirely from the headline.,full article (3 sentences),"Headline: ""Why are TDSB students being sent to rallies in the first place?""",85,90,55,70,,"Spot-checked: ASCRIBING agree (Opus: 70%, notes the signal is thin but correctly attributed to author/headline)."
