article_id,section,date,origin,relevant,skip_reason,topics_mentioned
2914136645,News,2024-01-16,Globe and Mail,TRUE,,post_secondary;immigration;housing
3048997361,News,2024-04-29,Ottawa Citizen,FALSE,About pro-Palestinian campus encampment protests and university policy responses to the Israel-Hamas war; Ford's brief quote about wanting people to get along peacefully is incidental and not about an election-connected provincial policy issue.,
3064416952,News,2024-06-04,Ottawa Citizen,FALSE,"About a federal byelection (Toronto-St. Paul's) and the Longest Ballot Committee's federal electoral-reform protest; concerns federal, not Ontario provincial, politics.",
2925082577,opinion/letters-to-the-editor,2024-02-12,Toronto Star,FALSE,"Letters focus on preventing car theft, a federal Criminal Code/justice matter (citing federal Justice Minister Arif Virani); not connected to Ontario provincial jurisdiction or the election. Text is truncated before the 'Premier on the right track' letter begins.",
3071391372,Canada / World,2024-06-24,Hamilton Spectator,TRUE,,public_infrastructure
3064715152,politics/provincial,2024-06-04,Toronto Star,TRUE,,election_timing;alcohol_sales;taxes
3047409433,Letters,2024-04-27,National Post,TRUE,,legislature_conduct
3039702807,News,2024-04-17,Toronto Star,TRUE,,public_transit;housing;immigration
3115717494,FP Comment,2024-10-11,National Post,FALSE,"Opinion piece on federal EV-subsidy policy and potential auto-industry bailouts (Volkswagen, Northvolt, Stellantis); only a passing mention of Ontario's regional economic exposure, no discussion of the Ontario government, election, or provincial jurisdiction.",
3151480592,Canada,2025-01-04,Ottawa Citizen,FALSE,"About pressure within the federal Liberal caucus for PM Justin Trudeau to resign; entirely federal politics, no Ontario provincial election content.",
3049129516,Opinion,2024-04-30,Sault Star,FALSE,"About Alberta's UCP government and municipal-authority legislation; concerns Alberta, not Ontario.",
3157227995,Opinion,2025-01-19,Toronto Sun,FALSE,"Historical/macro commentary on U.S. monetary and fiscal policy and its spillover effects on Canadian real estate; no mention of Ontario provincial government, election, or provincial-jurisdiction issues.",
3043320607,National,2024-04-22,Globe and Mail,TRUE,,economic_development
3134433239,Sports,2024-11-30,Sudbury Star,FALSE,Sports article about a competitive curling team's positional change and results; unrelated to Ontario politics or the election.,
2973827218,News,2024-03-25,Globe and Mail,TRUE,,municipal_powers;housing;taxes
3076853326,News,2024-07-09,Globe and Mail,TRUE,,alcohol_retail
3034973388,News,2024-04-10,Toronto Star,TRUE,,housing;corruption_scandal;public_opinion_polling
3059825139,Opinion,2024-05-24,Ottawa Citizen,TRUE,,health_care
3129922446,politics/provincial,2024-11-18,Hamilton Spectator,TRUE,,harm_reduction_drug_policy;crime
3126610407,News,2024-11-11,Globe and Mail,FALSE,"Article's focus is Alberta's Calgary supervised drug-use site debate and Alberta Premier Danielle Smith; Ontario/Ford is only a brief tangential comparison, not the article's subject.",
3102454046,politics/political-opinion,2024-09-10,Toronto Star,TRUE,,alcohol_retail;housing;public_transit
3109935396,opinion/contributors,2024-09-26,Toronto Star,TRUE,,public_transit
2968932423,opinion/letters-to-the-editor,2024-03-20,Hamilton Spectator,TRUE,,environment;public_transit (bike lanes/street changes per headline)
3134182555,Canada,2024-11-29,National Post,TRUE,,tariffs_trade
3168996870,Local / News,2025-02-21,Hamilton Spectator,TRUE,,election_campaign;crime;housing;education
3164584752,NP Comment,2025-02-07,National Post,FALSE,Article is about interprovincial trade barriers as a general Canadian federal policy issue; no Ontario-specific content or connection to the Ontario election.,
3076428079,Columnists,2024-07-06,Toronto Sun,TRUE,,alcohol_retail
2927876471,politics/provincial,2024-02-16,Toronto Star,TRUE,,housing;environment;municipal_powers
2972743194,opinion/contributors,2024-03-21,Hamilton Spectator,TRUE,,taxes;post_secondary
3066238588,Editorial,2024-06-11,Hamilton Spectator,TRUE,,health_care
2919244437,News,2024-01-29,Globe and Mail,FALSE,Federal foreign-interference inquiry story; not about the Ontario election or provincial jurisdiction issues.,
3049874136,politics/federal,2024-05-01,Hamilton Spectator,FALSE,Federal House of Commons dispute over Poilievre's ejection by the Speaker; not Ontario provincial.,
3123169792,Opinion,2024-11-01,Windsor Star,TRUE,,taxes;health_care;education;electioneering
3119329502,Issues,2024-10-22,National Post,FALSE,"About the 2024 BC provincial election (Eby/NDP); a different province, not Ontario.",
3086989391,Canadian Politics,2024-07-31,National Post,FALSE,Federal parliamentary committee dispute over an abortion-related motion; not Ontario provincial jurisdiction.,
3122610268,news/morning-digest,2024-10-31,Toronto Star,TRUE,,taxes;electioneering
2927963480,NP Comment,2024-02-17,National Post,FALSE,Op-ed critiquing the federal $10-a-day national daycare program broadly across Canada; no Ontario-specific or election-cycle tie.,
3087394329,Columnists,2024-08-01,Toronto Sun,TRUE,,municipal_powers;taxes
